good_id,unit ,quantity ,good ,
good1,gallons ,4,St. Rum ,
good2,bale ,1,blackball ,
good3,gallon ,1,molasses ,
good4,gallon ,1,B Rum ,
good5,pounds ,3.5,loaf sugar ,
good6,hand ,1,tobacco ,
good7,pound ,8,sugar ,
good8,pound ,0.5,Loaf Tea ,
good9,pair ,1,shoes ,
good10,pair ,1,booteas ,
good11,pound ,0.5,Tea ,
good12,pint ,1,Gin ,
good13,hand ,1,tobacco ,
good14,pint ,1,N E Rum ,
good15,yards ,3.75,lace ,
good16,gallon ,1,molasses ,
good17,pint ,1,Gin ,
good18,pair ,1,shoes ,
good19,pint ,1,N E Rum ,
good20,pint ,1,N E Rum ,
good21,pint ,1,Gin ,
good22,pint ,1,N E Rum ,
good23,pound ,1,nails ,
good24,pint ,1,N E Rum ,
good25,paper ,0.5,pins ,
good26,pound ,1,Loaf Sugar ,
good27,pair ,1,Shoe Brushes ,
good28,Jug ,1,Blacking ,
good29,bushels ,1,Beef ,
good30,bushels ,1,pork ,
good31,pound ,01/04/19,saleratus ,
good32,hand ,1,Tobacco ,
good33,pound ,1,nails ,
good34,bushels ,1,rye ,
good35,quart ,1,best Rum ,
good36,quart ,1,N E Rum ,
good37,yards ,5,calica ,
good38,quarts ,1,gin ,
good39,quarts ,2,N E Rum ,
good40,hand ,0.5,Tobacco ,
good41,pound ,01/04/19,pepper ,
good42,bushels ,01/02/19,Fine Tass Seed ,
good43,bushels ,01/02/19,Fine Tass Seed ,
good44,peck ,1,salt ,
good45,pint ,1,Gin ,
good46,hand ,1,Tobacco ,
good47,pint ,1,Brandy ,
good48,pound ,2,coffee ,
good49,pint ,1,Gin ,
good50,hand ,1,Tobacco ,
good51,  ,  ,  ,
good52,  ,  ,  ,
good53,  ,  ,  ,
good54,  ,  ,  ,
good55,  ,  ,  ,
good56,  ,  ,  ,
good57,  ,  ,  ,
good58,  ,  ,  ,
good59,  ,  ,  ,
good60,  ,  ,  ,
good61,  ,  ,  ,
good62,  ,  ,  ,
good63,  ,  ,  ,
good64,  ,  ,  ,
good65,  ,  ,  ,
good66,  ,  ,  ,
good67,  ,  ,  ,
good68,  ,  ,  ,
good69,  ,  ,  ,
good70,  ,  ,  ,
good71,  ,  ,  ,
good72,  ,  ,  ,
good73,  ,  ,  ,
good74,  ,  ,  ,
good75,  ,  ,  ,
good76,  ,  ,  ,
good77,  ,  ,  ,
good78,  ,  ,  ,
good79,  ,  ,  ,
good80,  ,  ,  ,
good81,  ,  ,  ,
good82,  ,  ,  ,
good83,  ,  ,  ,
good84,  ,  ,  ,
good85,  ,  ,  ,
good86,  ,  ,  ,
good87,  ,  ,  ,
good88,  ,  ,  ,
good89,  ,  ,  ,
good90,  ,  ,  ,
good91,  ,  ,  ,
good92,  ,  ,  ,
good93,  ,  ,  ,
good94,  ,  ,  ,
good95,  ,  ,  ,
good96,  ,  ,  ,
good97,  ,  ,  ,
good98,  ,  ,  ,
good99,  ,  ,  ,
good100,  ,  ,  ,
good101,  ,  ,  ,
good102,  ,  ,  ,
good103,  ,  ,  ,
good104,  ,  ,  ,
good105,  ,  ,  ,
good106,  ,  ,  ,
good107,  ,  ,  ,
good108,  ,  ,  ,
good109,  ,  ,  ,
good110,  ,  ,  ,
good111,  ,  ,  ,
good112,  ,  ,  ,
good113,  ,  ,  ,
good114,  ,  ,  ,
good115,  ,  ,  ,
good116,  ,  ,  ,
good117,  ,  ,  ,
good118,  ,  ,  ,
good119,  ,  ,  ,
good120,  ,  ,  ,
good121,  ,  ,  ,
good122,  ,  ,  ,
good123,  ,  ,  ,
good124,  ,  ,  ,
good125,  ,  ,  ,
good126,  ,  ,  ,
good127,  ,  ,  ,
good128,  ,  ,  ,
good129,  ,  ,  ,
good130,  ,  ,  ,
good131,  ,  ,  ,
good132,  ,  ,  ,
good133,  ,  ,  ,
good134,  ,  ,  ,
good135,  ,  ,  ,
good136,  ,  ,  ,
good137,  ,  ,  ,
good138,  ,  ,  ,
good139,  ,  ,  ,
