money_id ,unit_money ,quantity_money ,
money1,  ,  ,
money2,  ,  ,
money3,  ,  ,
money4,  ,  ,
money5,  ,  ,
money6,  ,  ,
money7,  ,  ,
money8,  ,  ,
money9,  ,  ,
money10,  ,  ,
money11,  ,  ,
money12,  ,  ,
money13,  ,  ,
money14,  ,  ,
money15,  ,  ,
money16,  ,  ,
money17,  ,  ,
money18,  ,  ,
money19,  ,  ,
money20,  ,  ,
money21,  ,  ,
money22,  ,  ,
money23,  ,  ,
money24,  ,  ,
money25,  ,  ,
money26,  ,  ,
money27,  ,  ,
money28,  ,  ,
money29,  ,  ,
money30,  ,  ,
money31,  ,  ,
money32,  ,  ,
money33,  ,  ,
money34,  ,  ,
money35,  ,  ,
money36,  ,  ,
money37,  ,  ,
money38,  ,  ,
money39,  ,  ,
money40,  ,  ,
money41,  ,  ,
money42,  ,  ,
money43,  ,  ,
money44,  ,  ,
money45,  ,  ,
money46,  ,  ,
money47,  ,  ,
money48,  ,  ,
money49,  ,  ,
money50,  ,  ,
money51,cents ,33,
money52,cents ,56,
money53,dollars ,5,
money54,dollars ,7,
money55,dollars ,2,
money56,cents ,25,
money57,dollars ,1,
money58,cents ,75,
money59,dollars ,5,
money60,cents ,40,
money61,cents ,17,
money62,cents ,43,
money63,dollars ,1,
money64,cents ,50,
money65,cents ,63,
money66,cents ,56,
money67,cents ,50,
money68,cents ,50,
money69,cents ,17,
money70,cents ,25,
money71,cents ,25,
money72,cents ,25,
money73,cents ,13,
money74,cents ,15,
money75,cents ,88,
money76,cents ,52,
money77,dollars ,1,
money78,cents ,75,
money79,cents ,75,
money80,dollars ,5,
money81,cents ,88,
money82,cents ,88,
money83,cents ,50,
money84,cents ,50,
money85,cents ,50,
money86,cents ,50,
money87,dollars ,18,
money88,cents ,28,
money89,dollars ,2,
money90,cents ,64,
money91,dollars ,5,
money92,dollars ,1,
money93,cents ,75,
money94,cents ,84,
money95,dollars ,3,
money96,cents ,38,
money97,dollars ,1,
money98,cents ,56,
money99,dollars ,1,
money100,dollars ,1,
money101,cents ,13,
money102,dollars ,5,
money103,dollars ,2,
money104,dollars ,1,
money105,cents ,88,
money106,dollars ,2,
money107,dollars ,4,
money108,cents ,53,
money109,dollars ,1,
money110,cents ,25,
money111,dollars ,1,
money112,dollars ,3,
money113,cents ,30,
money114,dollars ,0.5,
money115,cents ,10,
money116,cents ,56,
money117,dollars ,5,
money118,dollars ,3,
money119,cents ,77,
money120,cents ,75,
money121,cents ,50,
money122,cents ,45,
money123,cents ,20,
money124,dollars ,10,
money125,cents ,88,
money126,cents ,47,
money127,cents ,38,
money128,dollars ,16,
money129,dollars ,2,
money130,dollars ,10,
money131,cents ,75,
money132,cents ,25,
money133,dollars ,5,
money134,cents ,17,
money135,cents ,50,
money136,cents ,50,
money137,cents ,25,
money138,cents ,25,
money139,dollars ,7,
money140,cents ,48,
money141,dollars ,13,
money142,cents ,50,
money143,dollars ,8,
money144,cents ,58,
money145,cents ,77,
money146,cents ,77,
money147,cents ,25,
money148,dollars ,6,
money149,cents ,42,
money150,cents ,42,
money151,dollars ,4,
money152,dollars ,3,
money153,cents ,33,
money154,cents ,33,
money155,dollars ,3,
money156,dollars ,3,
money157,dollars ,1,
money158,cents ,25,
money159,dollars ,25,
money160,cents ,41,
money161,dollars ,18,
money162,dollars ,5,
money163,cents ,50,
money164,dollars ,2,
money165,cents ,17,
money166,dollars ,32,
money167,dollars ,4,
money168,dollars ,4,
money169,cents ,95,
money170,cents ,95,
money171,  ,  ,
money172,cents ,50,
money173,dollars ,1,
money174,cents ,50,
money175,dollars ,1,
money176,dollars ,1,
money177,cents ,25,
money178,cents ,25,
money179,dollars ,6,
money180,dollars ,6,
money181,dollars ,1,
money182,dollars ,1,
